,age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
28,49, Private,193366,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29,23, Local-gov,190709,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States, <=50K
30,20, Private,266015,10, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States, <=50K
31,45, Private,386940,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States, <=50K
32,30, Federal-gov,59951,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
33,22, State-gov,311512,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States, <=50K
34,48, Private,242406,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K
35,21, Private,197200,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
36,19, Private,544091,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K
38,48, Self-emp-not-inc,265477,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
39,31, Private,507875,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States, <=50K
40,53, Self-emp-not-inc,88506,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
41,24, Private,172987,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K
42,49, Private,94638,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
43,25, Private,289980,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
44,57, Federal-gov,337895,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
45,53, Private,144361,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K
46,44, Private,128354,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
47,41, State-gov,101603,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48,29, Private,271466,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States, <=50K
49,25, Private,32275,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States, <=50K
51,47, Private,51835,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras, >50K
52,50, Federal-gov,251585,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K
53,47, Self-emp-inc,109832,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
54,43, Private,237993,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
55,46, Private,216666,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
56,35, Private,56352,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
57,41, Private,147372,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K
58,30, Private,188146,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States, <=50K
59,30, Private,59496,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States, <=50K
61,48, Private,149640,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
62,42, Private,116632,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
63,29, Private,105598,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States, <=50K
64,36, Private,155537,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
65,28, Private,183175,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
66,53, Private,169846,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
67,49, Self-emp-inc,191681,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
69,19, Private,101509,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K
70,31, Private,309974,13, Separated, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
71,29, Self-emp-not-inc,162298,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
72,23, Private,211678,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
73,79, Private,124744,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States, <=50K
74,27, Private,213921,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico, <=50K
75,40, Private,32214,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
77,18, Private,309634,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States, <=50K
78,31, Local-gov,125927,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
79,18, Private,446839,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
80,52, Private,276515,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba, <=50K
81,46, Private,51618,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
82,59, Private,159937,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
83,44, Private,343591,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States, >50K
84,53, Private,346253,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
85,49, Local-gov,268234,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
86,33, Private,202051,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
87,30, Private,54334,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
88,43, Federal-gov,410867,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
89,57, Private,249977,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
90,37, Private,286730,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
91,28, Private,212563,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States, <=50K
93,34, Local-gov,226296,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
94,29, Local-gov,115585,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
95,48, Self-emp-not-inc,191277,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States, >50K
96,37, Private,202683,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K
97,48, Private,171095,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England, <=50K
98,32, Federal-gov,249409,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
99,76, Private,124191,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
100,44, Private,198282,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
101,47, Self-emp-not-inc,149116,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
102,20, Private,188300,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
103,29, Private,103432,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
104,32, Self-emp-inc,317660,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States, >50K
106,30, Private,194901,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
107,31, Local-gov,189265,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
108,42, Private,124692,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
109,24, Private,432376,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
110,38, Private,65324,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
111,56, Self-emp-not-inc,335605,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada, >50K
112,28, Private,377869,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States, <=50K
113,36, Private,102864,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
114,53, Private,95647,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
115,56, Self-emp-inc,303090,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
116,49, Local-gov,197371,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
117,55, Private,247552,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States, <=50K
118,22, Private,102632,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States, <=50K
119,21, Private,199915,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
120,40, Private,118853,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
121,30, Private,77143,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany, <=50K
122,29, State-gov,267989,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
123,19, Private,301606,10, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States, <=50K
124,47, Private,287828,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
125,20, Private,111697,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States, <=50K
126,31, Private,114937,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
128,39, Private,365739,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
129,28, Private,69621,12, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
130,24, Private,43323,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States, <=50K
131,38, Self-emp-not-inc,120985,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States, <=50K
132,37, Private,254202,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
133,46, Private,146195,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States, <=50K
134,38, Federal-gov,125933,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
135,43, Self-emp-not-inc,56920,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
136,27, Private,163127,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
137,20, Private,34310,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
138,49, Private,81973,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
139,61, Self-emp-inc,66614,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
140,27, Private,232782,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
141,19, Private,316868,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico, <=50K
142,45, Private,196584,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States, >50K
143,70, Private,105376,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
144,31, Private,185814,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States, <=50K
145,22, Private,175374,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States, <=50K
146,36, Private,108293,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
147,64, Private,181232,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States, <=50K
149,47, Local-gov,186009,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico, <=50K
150,34, Private,198183,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
151,33, Private,163003,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
152,21, Private,296158,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
154,48, Private,187715,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, <=50K
155,23, Private,214542,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
156,71, Self-emp-not-inc,494223,10, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States, <=50K
157,29, Private,191535,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
158,42, Private,228456,13, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States, <=50K
160,25, Private,252752,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
161,44, Self-emp-inc,78374,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
162,28, Private,88419,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England, <=50K
163,45, Self-emp-not-inc,201080,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
164,36, Private,207157,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K
165,39, Federal-gov,235485,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States, <=50K
166,46, State-gov,102628,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States, <=50K
167,18, Private,25828,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States, <=50K
168,66, Local-gov,54826,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
169,27, Private,124953,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States, <=50K
170,28, State-gov,175325,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
171,51, Private,96062,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States, >50K
172,27, Private,428030,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
173,28, State-gov,149624,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
174,27, Private,253814,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
175,21, Private,312956,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
176,34, Private,483777,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
177,18, Private,183930,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
178,33, Private,37274,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States, <=50K
179,44, Local-gov,181344,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States, >50K
180,43, Private,114580,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
181,30, Private,633742,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States, <=50K
182,40, Private,286370,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
183,37, Federal-gov,29054,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States, >50K
184,34, Private,304030,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
185,41, Self-emp-not-inc,143129,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
187,31, Private,99928,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, <=50K
188,58, State-gov,109567,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States, >50K
189,38, Private,155222,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States, <=50K
190,24, Private,159567,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
191,41, Local-gov,523910,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
192,47, Private,120939,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
193,41, Federal-gov,130760,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States, <=50K
194,23, Private,197387,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico, <=50K
195,36, Private,99374,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
196,40, Federal-gov,56795,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States, >50K
197,35, Private,138992,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States, >50K
198,24, Self-emp-not-inc,32921,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
199,26, Private,397317,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States, <=50K
201,51, Private,259323,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
202,42, Local-gov,254817,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States, <=50K
203,37, State-gov,48211,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
204,18, Private,140164,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
205,36, Private,128757,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States, >50K
206,35, Private,36270,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
207,58, Self-emp-inc,210563,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States, >50K
208,17, Private,65368,7, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
209,44, Local-gov,160943,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
210,37, Private,208358,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
211,35, Private,153790,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
212,60, Private,85815,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
213,54, Self-emp-inc,125417,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
214,37, Private,635913,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States, >50K
215,50, Private,313321,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
216,38, Private,182609,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland, <=50K
217,45, Private,109434,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K
218,25, Private,255004,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
219,31, Private,197860,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
221,90, Private,51744,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States, <=50K
222,54, Private,176681,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States, <=50K
223,53, Local-gov,140359,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
224,18, Private,243313,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
226,66, Self-emp-not-inc,167687,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50, United-States, <=50K
227,75, Private,314209,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia, <=50K
228,65, Private,176796,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
229,35, Private,538583,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States, <=50K
230,41, Private,130408,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States, <=50K
231,25, Private,159732,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States, <=50K
232,33, Private,110978,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States, <=50K
233,28, Private,76714,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States, >50K
234,59, State-gov,268700,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
235,40, State-gov,170525,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
236,41, Private,180138,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran, >50K
237,38, Local-gov,115076,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
238,23, Private,115458,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
239,40, Private,347890,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
240,41, Self-emp-not-inc,196001,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
241,24, State-gov,273905,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
243,38, Private,179488,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States, <=50K
245,58, Private,236596,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
246,32, Private,183916,9, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States, <=50K
247,40, Private,207578,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,60, United-States, >50K
249,41, Private,112763,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
250,42, Private,390781,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
251,59, Local-gov,171328,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
252,19, Local-gov,27382,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
253,58, Private,259014,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, United-States, <=50K
254,42, Self-emp-not-inc,303044,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, >50K
255,20, Private,117789,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
256,32, Private,172579,9, Separated, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
257,45, Private,187666,11, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
258,50, Private,204518,4, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
259,36, Private,150042,13, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
260,45, Private,98092,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
261,17, Private,245918,7, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
262,59, Private,146013,10, Married-civ-spouse, Sales, Husband, White, Male,4064,0,40, United-States, <=50K
263,26, Private,378322,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
264,37, Self-emp-inc,257295,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,75, Thailand, >50K
266,64, Private,21174,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
267,33, Private,185480,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
268,33, Private,222205,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, >50K
269,61, Private,69867,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
270,17, Private,191260,5, Never-married, Other-service, Own-child, White, Male,1055,0,24, United-States, <=50K
271,50, Self-emp-not-inc,30653,14, Married-civ-spouse, Farming-fishing, Husband, White, Male,2407,0,98, United-States, <=50K
272,27, Local-gov,209109,14, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
273,30, Private,70377,9, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
274,43, Private,477983,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
275,44, Private,170924,10, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
276,35, Private,190174,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
277,25, Private,193787,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
278,24, Private,279472,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,7298,0,48, United-States, >50K
279,22, Private,34918,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, Germany, <=50K
